gender,age,exp,educ,salary
1,35,11,0,49775
1,36,5,1,33403
1,37,12,1,57570
1,38,9,1,52966
1,39,5,0,85436
1,40,9,1,62147
1,41,6,1,83292
1,42,12,0,96162
1,43,10,0,58542
1,44,11,0,66286
1,45,6,1,96644
1,46,12,0,78676
1,47,6,0,89200
1,48,8,1,70199
1,49,6,0,84738
1,50,12,1,95145
1,51,8,1,52535
1,52,8,1,76853
1,53,12,1,5700
1,54,8,0,88389
1,55,11,0,79815
1,56,8,0,94592
1,57,10,1,24855
1,58,11,1,33393
1,59,12,0,49642
1,60,11,0,71343
1,61,10,1,32688
1,62,5,0,60404
1,63,5,0,5381
0,25,6,1,23650
0,26,5,1,76885
0,27,3,0,52275
0,28,5,0,95707
0,29,6,1,22589
0,30,3,1,49454
0,31,5,1,2002
0,32,6,0,26409
0,33,4,1,3397
0,34,4,1,52039
0,35,4,0,85554
0,36,6,0,52272
0,37,3,0,78727
0,38,3,0,75860
0,39,6,0,9481
0,40,6,0,95852
0,41,5,0,37386
0,42,5,0,20426
0,43,3,1,40577
0,44,3,0,99152
0,45,6,1,55427
0,46,3,1,1771
0,47,4,0,18012
0,48,5,0,58507
0,49,4,0,39364
0,50,5,0,87105
0,51,3,0,79975
0,52,3,0,39717
0,53,5,0,16604
